City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san luis de la loma,17.2706,-100.8939,28.48,74,99,3.22,MX,1731535534
1,tres lagoas,-20.7511,-51.6783,24.29,55,58,2.36,BR,1731535535
2,terra rica,-22.7094,-52.6169,23.35,34,0,2.84,BR,1731535536
3,waitangi,-43.9535,-176.5597,11.24,73,38,5.94,NZ,1731535227
4,port-aux-francais,-49.35,70.2167,4.05,88,100,13.51,TF,1731535212
5,thompson,55.7435,-97.8558,3.09,60,20,4.63,CA,1731535539
6,mary,37.0,62.5,5.34,63,46,4.43,TM,1731535540
7,san patricio,28.017,-97.5169,30.97,46,32,3.32,US,1731535541
8,lebu,-37.6167,-73.65,13.84,80,100,7.9,CL,1731535542
9,montana,43.4125,23.225,4.62,93,99,0.85,BG,1731535544
10,adamstown,-25.066,-130.1015,21.86,81,94,3.79,PN,1731535545
11,grytviken,-54.2811,-36.5092,-1.66,84,100,0.56,GS,1731535546
12,i-n-salah,27.1935,2.4607,21.64,25,2,5.28,DZ,1731535547
13,corumba,-19.0092,-57.6533,27.95,42,0,2.06,BR,1731535548
14,port alfred,-33.5906,26.891,16.21,83,98,1.84,ZA,1731535549
15,tazacorte,28.629,-17.9293,19.54,76,40,3.58,ES,1731535550
16,sur,22.5667,59.5289,25.84,65,0,4.46,OM,1731535551
17,mount isa,-20.7333,139.5,28.87,24,86,8.23,AU,1731535552
18,albany,42.6001,-73.9662,4.24,52,0,1.61,US,1731535284
19,puerto natales,-51.7236,-72.4875,13.25,38,40,13.89,CL,1731535365
20,al qusayr,34.5091,36.5798,14.05,81,0,0.84,SY,1731535555
21,piacabucu,-10.4056,-36.4344,25.07,79,15,5.67,BR,1731535556
22,barcelos,41.5388,-8.6151,11.24,73,100,2.9,PT,1731535557
23,ma'rib,15.4591,45.3253,18.05,20,7,2.16,YE,1731535558
24,whitehorse,60.7161,-135.0538,-5.5,92,100,3.09,CA,1731535559
25,alotau,-10.3069,150.4462,27.33,84,100,0.91,PG,1731535560
26,colac,-38.3333,143.5833,13.26,58,2,2.51,AU,1731535561
27,chonchi,-42.6128,-73.8092,16.18,93,100,0.29,CL,1731535296
28,ilulissat,69.2167,-51.1,-1.99,64,100,8.75,GL,1731535237
29,rembangan,-6.7036,111.3416,25.91,88,99,1.83,ID,1731535565
30,yellowknife,62.456,-114.3525,-9.77,97,75,3.6,CA,1731535207
31,xam nua,20.4197,104.0439,16.93,93,1,0.94,LA,1731535567
32,khandyga,62.6667,135.6,-27.68,93,35,1.86,RU,1731535568
33,georgetown,5.4112,100.3354,26.96,83,40,2.68,MY,1731535220
34,port elizabeth,-33.918,25.5701,16.29,82,40,1.54,ZA,1731535338
35,badger,64.8,-147.5333,-19.24,73,75,0.0,US,1731535572
36,bilibino,68.0546,166.4372,-20.8,100,35,2.4,RU,1731535573
37,kulhudhuffushi,6.6221,73.07,28.07,72,30,3.22,MV,1731535574
38,kalmunai,7.4167,81.8167,26.02,86,97,2.0,LK,1731535575
39,sona,45.4388,10.8255,7.14,84,0,1.54,IT,1731535576
40,rongelap,11.1635,166.8941,28.59,70,82,7.12,MH,1731535325
41,baotou,40.6522,109.8222,4.49,85,0,0.42,CN,1731535579
42,sisteron,44.1876,5.9462,4.5,86,90,2.74,FR,1731535580
43,omdurman,15.6445,32.4777,28.53,30,36,6.2,SD,1731535581
44,juneau,58.3019,-134.4197,3.01,100,100,1.98,US,1731535322
45,west island,-12.1568,96.8225,25.99,83,91,6.69,CC,1731535217
46,kencong,-8.2833,113.3667,24.13,89,11,1.28,ID,1731535584
47,hermanus,-34.4187,19.2345,14.89,74,24,7.06,ZA,1731535197
48,udachny,66.4167,112.4,-30.5,99,38,2.73,RU,1731535587
49,invercargill,-46.4,168.35,14.45,83,100,0.89,NZ,1731535243
50,heroldsbach,49.6934,10.9988,4.24,92,100,1.11,DE,1731535589
51,magherafelt,54.7536,-6.6066,11.99,97,100,2.25,GB,1731535590
52,brookings,44.3114,-96.7984,8.0,84,100,5.14,US,1731535334
53,holdrege,40.4403,-99.3698,12.95,38,0,10.29,US,1731535533
54,tazovsky,67.4667,78.7,-29.29,100,96,1.14,RU,1731535594
55,mount pearl,47.5166,-52.7813,3.03,94,100,15.95,CA,1731535595
56,sinjai,-5.1241,120.253,24.98,85,17,1.63,ID,1731535596
57,blackmans bay,-43.0167,147.3167,13.07,60,67,1.79,AU,1731535231
58,simanggang,1.2472,111.4528,23.99,100,75,0.0,MY,1731535598
59,dalandzadgad,43.5708,104.425,2.15,53,32,3.3,MN,1731535600
60,yamada,39.4667,141.95,4.21,69,4,1.93,JP,1731535601
61,toliara,-23.35,43.6667,23.45,80,16,5.72,MG,1731535601
62,bredasdorp,-34.5322,20.0403,14.54,68,25,4.12,ZA,1731535603
63,tateyama,34.9833,139.8667,16.96,75,69,4.94,JP,1731535604
64,rockland,41.1668,-74.0496,7.19,44,0,1.74,US,1731535605
65,uturoa,-16.7333,-151.4333,26.08,74,50,6.34,PF,1731535606
66,sultanah,24.4926,39.5857,25.25,20,0,1.03,SA,1731535607
67,kuching,1.55,110.3333,25.58,97,20,1.54,MY,1731535608
68,kailua-kona,19.6406,-155.9956,29.04,67,75,4.12,US,1731535573
69,birzebbuga,35.8258,14.5269,16.38,88,20,2.06,MT,1731535611
70,college,64.8569,-147.8028,-17.28,80,95,0.58,US,1731535244
71,happy valley-goose bay,53.3168,-60.3315,-6.31,66,0,1.33,CA,1731535613
72,yujing,23.1249,120.4614,22.69,88,57,0.83,TW,1731535614
73,bethel,41.3712,-73.414,7.51,45,0,0.45,US,1731535188
74,hadibu,12.65,54.0333,25.09,61,7,3.75,YE,1731535616
75,hamilton,39.1834,-84.5333,14.67,63,0,4.12,US,1731535617
76,katsuren-haebaru,26.3369,127.8719,26.01,88,75,3.09,JP,1731535618
77,taulaga,-11.0553,-171.0883,28.12,80,38,8.03,AS,1731535619
78,iqaluit,63.7506,-68.5145,-11.28,72,95,1.34,CA,1731535620
79,olonkinbyen,70.9221,-8.7187,-1.59,62,1,11.8,SJ,1731535235
80,port augusta,-32.5,137.7667,17.56,62,0,3.93,AU,1731535622
81,inhambane,-23.865,35.3833,23.92,84,100,5.04,MZ,1731535623
82,ribeira grande,38.5167,-28.7,19.22,82,40,3.09,PT,1731535245
83,umba,66.6871,34.3429,2.57,87,18,7.03,RU,1731535409
84,tiksi,71.6872,128.8694,-24.73,100,97,1.49,RU,1731535215
85,nemuro,43.3236,145.575,3.02,66,5,3.59,JP,1731535627
86,gustavsberg,59.3268,18.3898,5.94,95,92,2.64,SE,1731535628
87,taesal-li,36.9714,126.4542,14.77,72,33,3.03,KR,1731535629
88,n'zeto,-7.2312,12.8666,25.79,89,100,3.82,AO,1731535631
89,santana,-0.0583,-51.1817,30.1,70,20,5.14,BR,1731535558
90,carnarvon,-24.8667,113.6333,20.9,85,84,5.36,AU,1731535633
91,tofol,5.3248,163.0078,28.37,73,78,4.81,FM,1731535634
92,bardai,11.65,7.2333,23.25,32,0,3.86,NG,1731535198
